OBJECTID,aadt_type,priority,sh_sa_ir,faadt,fedfunccls,fed_urbrur,capacity,jurisdictn,link_id,nhs_status,num_lanes,offic_mile,prim_bmp,prirtecode,prim_emp,prirtename,segment_id,speed_lim,speedsrc,st_urbrur,strtname,townname,towncode,cntyname,cnty_no,surfc_type,dot_region,dot_regi_1,Shape_Leng,x,y,Damage_Status,Match_Type,Matched_Damage_OBJECTID,Dist_to_Damage_m,Z_Min,Z_Max,Z_Mean,Length3D,Min_Slope,Max_Slope,Avg_Slope,Shape_Length,Distance_to_Coast_m,Nearest_Gauge,Max_Height,Return_Period,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max,Structure
113816,E,5,IR-0903503,219,Local,Rural,1000,Townway,5094052,Non-fed aid non-NHS,2,Y,0,903503,0.21,RD INV 09 03503,72672,,Unposted,Rural,HARBOR RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,474.5247733,-68.45132925,44.14394479,No Damage,Control,113815,232.7172549,13,24,19.53749382,,0,99.29936193,2.759423757,474.5247733,81.56297274,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,9.903232,20.903232,16.44072582,No Structure
169369,E,5,IR-0903501,274,Local,Rural,1000,Townway,3936818,Non-fed aid non-NHS,2,Y,0.33,903501,0.47,RD INV 09 03501,58734,,Unposted,Rural,HARBOR RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,311.5459248,-68.45126586,44.1471834,No Damage,Control,113815,249.4536917,24,31,28.65641809,,0,95.24469872,4.12167392,311.5459248,201.2526418832348,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,20.903232,27.903232,25.55965009,No Structure
87493,E,5,IR-0901766,314,Local,Rural,1000,Townway,5094003,Non-fed aid non-NHS,2,Y,0.08,901766,0.15,RD INV 09 01766,21551,,Unposted,Rural,BAYVIEW AV,Stonington,9290,Hancock,9,Flexible,4,Eastern,162.0394274,-68.65978281,44.15500357,Damage,Damage,87493,,2.0372,4,3.842488027,,0,134.2007625,12.3326391,162.0394274,2.003502863294828,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,-1.059568,0.903232,0.745720027,No Structure
164949,E,5,IR-0901768,184,Local,Rural,1000,Townway,199304,Non-fed aid non-NHS,2,Y,0,901768,0.11,RD INV 09 01768,79261,,Unposted,Rural,GRANITE ST,Stonington,9290,Hancock,9,Flexible,4,Eastern,258.1662503,-68.65963317,44.15574947,No Damage,Control,87493,83.79501822,2.7689,22,15.21700786,,0,108.2283989,9.066338505,258.1662503,65.85741724457621,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,-0.327868,18.903232,12.12023986,No Structure
87491,E,5,IR-0901764,588,Local,Rural,1000,Townway,5094001,Non-fed aid non-NHS,2,Y,0,901764,0.12,RD INV 09 01764,84109,,Unposted,Rural,SEABREEZE AV,Stonington,9290,Hancock,9,Flexible,4,Eastern,278.9103719,-68.6611513,44.15533037,No Damage,Control,87493,115.0634235,4,11,9.765043792,,0,75.81615114,3.261597436,278.9103719,39.87573826664794,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,0.903232,7.903232,6.668275792,No Structure
87492,E,5,IR-0901766,282,Local,Rural,1000,Townway,5094002,Non-fed aid non-NHS,2,Y,0,901766,0.08,RD INV 09 01766,40374,,Unposted,Rural,BAYVIEW AV,Stonington,9290,Hancock,9,Flexible,4,Eastern,188.8862389,-68.65833887,44.15550665,No Damage,Control,87493,128.0580469,0,5,3.283296805,,0,158.2823154,16.90940368,188.8862389,11.181893316319924,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,-3.096768,1.903232,0.186528805,No Structure
87494,E,5,IR-0901767,172,Local,Rural,1000,Townway,5094004,Non-fed aid non-NHS,2,Y,0,901767,0.05,RD INV 09 01767,80589,,Unposted,Rural,PLEASANT ST,Stonington,9290,Hancock,9,Flexible,4,Eastern,119.34327,-68.66073343,44.15616978,No Damage,Control,87493,150.2243563,17,19,17.8711909,,0,76.83047337,5.35496546,119.34327,125.0399791481826,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,13.903232,15.903232,14.7744229,No Structure
94512,E,3,SH-0250,1763,Major Collector,Rural,1800,State hwy,3131752,Fed aid non-NHS,2,Y,0.25,0015X,0.29,ST RTE 15,85154,25,Posted,Rural,THURLOWS HILL RD,Stonington,9290,Hancock,9,Flexible,4,Eastern,96.52393709,-68.66072125,44.15670417,No Damage,Control,87493,203.3787831,17,22,20.38186322,,0,78.97967198,6.043455057,96.52393709,171.54176332659694,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Penobscott Bay,21.42,297.8,13.1,301.07,Brooklin,1.31,13.903232,18.903232,17.28509522,No Structure
127319,E,5,IR-0903513,11,Local,Rural,1000,Townway,5094105,Non-fed aid non-NHS,2,Y,0,903513,0.44,RD INV 09 03513,90648,20,Posted,Rural,ROSE HILL RD,Swans Island,9320,Hancock,9,Unimproved,4,Eastern,979.7019536,-68.42112409,44.18619427,Damage,Damage,127319,,2,18,5.382018212,,0,94.45352426,5.841647755,979.7019536,8.084668020438915,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,-1.096768,14.903232,2.285250212,No Structure
143609,E,4,SA-007,60,Major Collector,Rural,1800,State aid,4768522,Fed aid non-NHS,2,Y,0,903700,0.27,RD INV 09 03700,27074,,Unposted,Rural,FERRY DOCK RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,594.4762986,-68.42191091,44.18171566,No Damage,Control,127319,501.9352615,0,7,5.049241679,,0,90.76665962,2.359553079,594.4762986,25.037510180925544,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,-3.096768,3.903232,1.952473679,No Structure
