Damage_Status,OBJECTID,aadt_type,priority,sh_sa_ir,faadt,fedfunccls,fed_urbrur,capacity,jurisdictn,link_id,nhs_status,num_lanes,offic_mile,prim_bmp,prirtecode,prim_emp,prirtename,segment_id,speed_lim,speedsrc,st_urbrur,strtname,townname,towncode,cntyname,cnty_no,surfc_type,dot_region,dot_regi_1,Shape_Leng,x,y,Z_Min,Z_Max,Z_Mean,Min_Slope,Avg_Slope,Max_Slope,Damage_Status_y,Nearest_Gauge,Max_Height,Return_Period,Distance_to_Coast_m,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max,Inundation_Duration_Min
Damage,149052,E,5,IR-0901297,371,Local,Rural,1000,Townway,5097984,Non-fed aid non-NHS,2,Y,0.734,901297,1.13,RD INV 09 01297,37911,25,Posted,Rural,WADSWORTH COVE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,272.1076302,-68.80858043,44.39734446,2.000000064,4.000000128,3.262024734,0,1.10073912,6.165172639,Damage,Bar Harbor,3.096768,257.9,224.6132757,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,-1.096768,0.165256629,0.903232,306
No Damage,5641,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,0.74,0166X,0.788,ST RTE 166,22364,40,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,32.83042725,-68.80538675,44.39757698,4.000000128,5.00000016,4.212261887,0,0.77185345,5.602218605,No Damage,Bar Harbor,3.096768,257.9,31.38620457,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,0.903232,1.115493753,1.903232,0
No Damage,5638,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,0.788,0166X,1,ST RTE 166,22044,45,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,145.1337549,-68.80508996,44.39944154,5.00000016,18.00000058,11.21407021,0,1.352919322,6.629814384,No Damage,Bar Harbor,3.096768,257.9,107.4308206,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,1.903232,8.11730185,14.903232,0
No Damage,4578,E,4,SH-0255,2403,Major Collector,Rural,1800,State hwy,3107594,Fed aid non-NHS,2,Y,0.5,0166X,0.74,ST RTE 166,35448,40,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,164.9491362,-68.80366699,44.39598724,3.000000096,25.0000008,10.70620114,0,1.864421676,6.537092456,No Damage,Bar Harbor,3.096768,257.9,103.6072105,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,-0.096768,7.6094328,21.903232,36
No Damage,4587,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,1,0166X,1.27,ST RTE 166,11101,45,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,184.1664892,-68.8036547,44.40274173,5.4864,9.144,8.11040839,0,1.610507866,6.574547444,No Damage,Bar Harbor,3.096768,257.9,296.0036901,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,14.903232,23.51218341,26.903232,0
No Damage,105985,E,4,SH-0751,1310,Major Collector,Rural,1800,State hwy,3124036,Fed aid non-NHS,2,Y,1.27,0166X,1.56,ST RTE 166,94266,35,Posted,Rural,THE SHORE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,199.9345011,-68.80438417,44.40597647,4.8768,6.4008,5.484681019,0,1.136803075,6.145074032,No Damage,Bar Harbor,3.096768,257.9,352.9476132,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,12.903232,14.8975923,17.903232,0
Damage,42643,E,5,IR-2901406,220,Local,Rural,1000,Townway,5101585,Non-fed aid non-NHS,2,Y,0.12,2901406,0.21,RD INV 29 01406,10159,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,63.90571933,-66.98238082,44.85749527,4.000000128,5.00000016,4.348053512,0,0.649974536,6.068421669,Damage,Eastport,4.65,18.56,49.49842953,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.867237374,1.519184,0
No Damage,150183,A,5,IR-2901403,350,Local,Rural,1000,Townway,231504,Non-fed aid non-NHS,2,Y,0.11,2901403,0.2,RD INV 29 01403,27928,0,Unposted,Rural,PLEASANT ST,Lubec,29260,Washington,29,Flexible,4,Eastern,64.80875581,-66.98318876,44.85737446,4.000000128,6.000000192,4.96053422,0,0.7997884,5.673525682,No Damage,Eastport,4.65,18.56,114.7184822,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,1.479718062,2.519184,0
No Damage,42445,A,5,IR-2901920,220,Local,Rural,1000,Townway,5101570,Non-fed aid non-NHS,2,Y,0,2901920,0.04,RD INV 29 01920,19930,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,28.69728884,-66.98299081,44.85809105,4.000000128,6.000000192,5.031077628,0,1.498873487,5.835097932,No Damage,Eastport,4.65,18.56,66.79936477,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,1.550261467,2.519184,0
No Damage,42444,A,5,IR-2901403,550,Local,Rural,1000,Townway,5101569,Non-fed aid non-NHS,2,Y,0.2,2901403,0.24,RD INV 29 01403,27051,0,Unposted,Rural,PLEASANT ST,Lubec,29260,Washington,29,Flexible,4,Eastern,30.00142058,-66.98351608,44.85833593,6.000000192,6.000000192,6.000000192,0,0,0,No Damage,Eastport,4.65,18.56,87.95384733,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,2.519184,2.519184,2.519184,0
No Damage,150738,A,5,IR-2901404,150,Local,Rural,1000,Townway,231508,Non-fed aid non-NHS,2,Y,0.2,2901404,0.24,RD INV 29 01404,11656,0,Unposted,Rural,DEWEY MOWRY ST,Lubec,29260,Washington,29,Flexible,4,Eastern,27.70778148,-66.98258402,44.85677786,4.000000128,4.000000128,4.000000128,0,0,0,No Damage,Eastport,4.65,18.56,76.44595978,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.519184,0.519184,0
No Damage,42644,A,5,IR-2901406,80,Local,Rural,1000,Townway,5101586,Non-fed aid non-NHS,2,Y,0.1,2901406,0.12,RD INV 29 01406,45091,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,16.69254577,-66.98213696,44.85667128,4.000000128,4.000000128,4.000000128,0,0,0,No Damage,Eastport,4.65,18.56,47.22435693,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.519184,0.519184,0
Damage,148970,A,5,IR-2900599,740,Local,Rural,1000,Townway,230941,Non-fed aid non-NHS,2,Y,2.48,2900599,2.9,RD INV 29 00599,93267,0,Unposted,Rural,RIDGE RD,Addison,29010,Washington,29,Flexible,4,Eastern,288.9712589,-67.74817084,44.61706681,0,11.00000035,4.067830803,0,1.662045702,8.613221825,Damage,Cutler Wharf,3.480816,26.08,17.06311155,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,-3.480816,0.587014674,7.519184,804
No Damage,22560,E,4,SA-003,1237,Major Collector,Rural,1800,State aid,3129526,Fed aid non-NHS,2,Y,0,2900601,0.06,RD INV 29 00601,6021,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,43.49209997,-67.74401871,44.6185587,4.000000128,6.000000192,4.527258455,0,0.950034074,6.029046419,No Damage,Cutler Wharf,3.480816,26.08,95.74757513,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,0.519184,1.04644231,2.519184,0
No Damage,8528,E,4,SA-003,1136,Major Collector,Rural,1800,State aid,3113013,Fed aid non-NHS,2,Y,2.39,2900599,2.48,RD INV 29 00599,69167,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,63.10839359,-67.74434087,44.61932008,6.000000192,10.00000032,7.666889031,0,1.199279854,5.698600633,No Damage,Cutler Wharf,3.480816,26.08,126.2000212,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,2.519184,4.186072785,6.519184,0
No Damage,8532,E,4,SA-003,1136,Major Collector,Rural,1800,State aid,3113013,Fed aid non-NHS,2,Y,2.37,2900599,2.39,RD INV 29 00599,96571,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,13.9374453,-67.74395989,44.62008028,10.00000032,11.00000035,10.82067832,0,1.202409196,5.867680168,No Damage,Cutler Wharf,3.480816,26.08,119.7980779,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,6.519184,7.33986197,7.519184,0
No Damage,42376,E,5,IR-2900968,146,Local,Rural,1000,Townway,5102096,Non-fed aid non-NHS,2,Y,0,2900968,0.12,RD INV 29 00968,54942,0,Unposted,Rural,PLEASANT ST,Addison,29010,Washington,29,Unimproved,4,Eastern,80.2135939,-67.74319967,44.61926752,4.000000128,12.00000038,7.595715656,0,1.469785496,6.682135002,No Damage,Cutler Wharf,3.480816,26.08,192.6708932,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,0.519184,4.114899415,8.519184,0
No Damage,149573,E,5,IR-2900967,184,Local,Rural,1000,Townway,231057,Non-fed aid non-NHS,2,Y,0.33,2900967,0.38,RD INV 29 00967,17093,25,Posted,Rural,SCHOOL ST,Addison,29010,Washington,29,Flexible,4,Eastern,34.16182624,-67.7433994,44.62015605,11.00000035,12.00000038,11.42478658,0,0.788399216,6.187653668,No Damage,Cutler Wharf,3.480816,26.08,157.4204721,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,7.519184,7.94397021,8.519184,0
Damage,141128,A,5,IR-2900319,210,Local,Rural,1000,Townway,3935521,Non-fed aid non-NHS,2,Y,6.33,2900319,6.95,RD INV 29 00319,63062,25,Posted,Rural,JOHNSON COVE RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,427.2564995,-67.47702827,44.6103362,0,17.00000054,9.709777673,0,1.42152737,6.617390751,Damage,Cutler Wharf,3.480816,26.08,5.490577448,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,-3.480816,6.228961363,13.519184,804
No Damage,179167,A,4,SH-0300,1536,Major Collector,Rural,1800,State hwy,3113263,Fed aid non-NHS,2,Y,6.35,0187X,6.5,ST RTE 187,83075,45,Posted,Rural,INDIAN RIVER RD,Addison,29010,Washington,29,Flexible,4,Eastern,103.329801,-67.64746744,44.57841574,11.00000035,13.00000042,11.97171911,0,0.841153558,5.105859123,No Damage,Cutler Wharf,3.480816,26.08,344.6958586,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,7.519184,8.49090273,9.519184,0
No Damage,35281,E,5,IR-2900708,14,Local,Rural,1000,Townway,5104598,Non-fed aid non-NHS,2,Y,0,2900708,0.25,RD INV 29 00708,79840,0,Unposted,Rural,THE LANE,Addison,29010,Washington,29,Unimproved,4,Eastern,171.6414872,-67.66809107,44.54931558,0.9144,3.3528,1.907509313,0,1.672530189,6.61722666,No Damage,Cutler Wharf,3.480816,26.08,113.177587,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,-0.480816,2.777416653,7.519184,630
No Damage,141129,A,5,IR-2900319,210,Local,Rural,1000,Townway,3935521,Non-fed aid non-NHS,2,Y,6.95,2900319,9.05,RD INV 29 00319,83582,35,Posted,Rural,JOHNSON COVE RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,1447.075629,-67.45246355,44.60639213,4.000000128,25.0000008,14.74844817,0,1.304468803,6.688711299,No Damage,Cutler Wharf,3.480816,26.08,300.5855433,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,11.2676317,21.519184,0
No Damage,100391,A,4,SA-002,311,Minor Collector,Rural,1600,State aid,3121942,Non-fed aid non-NHS,2,Y,1.74,2900370,4.67,RD INV 29 00370,42152,0,Unposted,Rural,GREAT COVE RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,2019.411878,-67.50391422,44.64336858,4.000000128,25.0000008,15.34895798,0,1.186947987,6.530872142,No Damage,Cutler Wharf,3.480816,26.08,121.6173716,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,11.86814149,21.519184,0
No Damage,156923,A,5,IR-2900372,220,Local,Rural,1000,Townway,5095436,Non-fed aid non-NHS,2,Y,0.56,2900372,0.599,RD INV 29 00372,36942,25,Posted,Rural,SCHOPPEE POINT RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,26.8607386,-67.48940902,44.60935014,4.000000128,5.00000016,4.489520836,0,1.464609846,5.841315932,No Damage,Cutler Wharf,3.480816,26.08,20.98628174,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,1.008704691,1.519184,0
Damage,8174,A,4,SA-003,418,Minor Collector,Rural,1600,State aid,3113052,Non-fed aid non-NHS,2,Y,0,2900372,0.56,RD INV 29 00372,34444,25,Posted,Rural,SCHOPPEE POINT RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,385.6177743,-67.48454604,44.61129073,4.000000128,20.00000064,8.274166167,0,1.352369038,6.630170211,Damage,Cutler Wharf,3.480816,26.08,42.78802436,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,4.793349901,16.519184,0
No Damage,35282,E,5,IR-2900605,41,Local,Rural,1000,Townway,5104599,Non-fed aid non-NHS,2,Y,0,2900605,0.57,RD INV 29 00605,44072,0,Unposted,Rural,QUARRY RD,Addison,29010,Washington,29,Gravel,4,Eastern,390.5060207,-67.67768173,44.54086158,2.1336,6.4008,4.959407673,0,1.507870567,6.64303952,No Damage,Cutler Wharf,3.480816,26.08,303.7112735,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,3.519184,12.79020655,17.519184,366
No Damage,178221,E,4,SH-0300,1616,Major Collector,Rural,1800,State hwy,3113264,Fed aid non-NHS,2,Y,6.5,0187X,6.85,ST RTE 187,66322,45,Posted,Rural,INDIAN RIVER RD,Addison,29010,Washington,29,Flexible,4,Eastern,238.9448809,-67.64507497,44.57525317,6.000000192,11.00000035,8.505966729,0,1.005317301,6.276156229,No Damage,Cutler Wharf,3.480816,26.08,88.51432906,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,2.519184,5.025150457,7.519184,0
No Damage,29807,A,4,SA-004,389,Minor Collector,Rural,1600,State aid,3113020,Non-fed aid non-NHS,2,Y,1.06,2900605,3.96,RD INV 29 00605,31898,0,Unposted,Rural,BASIN RD,Addison,29010,Washington,29,Flexible,4,Eastern,1994.784931,-67.66304989,44.57041817,0.164700005,26.00000083,10.28358702,0,1.231833603,7.526269097,No Damage,Cutler Wharf,3.480816,26.08,247.2427524,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,-3.316116,6.80277069,22.519184,762
No Damage,42564,E,5,IR-2900607,40,Local,Rural,1000,Townway,5102104,Non-fed aid non-NHS,2,Y,0,2900607,0.27,RD INV 29 00607,21161,0,Unposted,Rural,CROWLEY ISLAND RD,Addison,29010,Washington,29,Gravel,4,Eastern,186.1191852,-67.64939798,44.57039991,9.000000288,15.00000048,11.3463608,0,1.167543727,6.156520989,No Damage,Cutler Wharf,3.480816,26.08,253.0094251,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,5.519184,7.86554444,11.519184,0
No Damage,179173,E,4,SH-0300,1616,Major Collector,Rural,1800,State hwy,3113264,Fed aid non-NHS,2,Y,6.85,0187X,6.881,ST RTE 187,1267,45,Posted,Rural,INDIAN RIVER RD,Addison,29010,Washington,29,Flexible,4,Eastern,21.20147981,-67.6431013,44.57291333,7.000000224,7.000000224,7.000000224,0,0,0,No Damage,Cutler Wharf,3.480816,26.08,103.4365481,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,3.519184,3.519184,3.519184,0
Damage,113984,A,5,IR-2900372,220,Local,Rural,1000,Townway,5095436,Non-fed aid non-NHS,2,Y,0.599,2900372,1.2,RD INV 29 00372,75268,20,Posted,Rural,SCHOPPEE POINT RD,Roque Bluffs,29390,Washington,29,Flexible,4,Eastern,417.282676,-67.49389067,44.61161702,3.000000096,16.00000051,8.122993665,0,1.295310179,6.684053314,Damage,Cutler Wharf,3.480816,26.08,16.56009525,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,-0.480816,4.642177404,12.519184,126
No Damage,178767,A,4,SH-0300,1642,Major Collector,Rural,1800,State hwy,3113268,Fed aid non-NHS,2,Y,0.5,0187X,0.73,ST RTE 187,47561,50,Posted,Rural,INIDAN RIVER RD,Columbia Falls,29130,Washington,29,Flexible,4,Eastern,157.8754019,-67.70848032,44.63849734,9.000000288,15.00000048,11.36044036,0,0,0,No Damage,Cutler Wharf,3.480816,26.08,324.8834751,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,-3.480816,-3.480816,-3.480816,0
No Damage,178517,E,4,SH-0300,1642,Major Collector,Rural,1800,State hwy,3113266,Fed aid non-NHS,2,Y,1.732,0187X,1.96,ST RTE 187,68799,40,Posted,Rural,INDIAN RIVER RD,Addison,29010,Washington,29,Flexible,4,Eastern,157.8882796,-67.71170029,44.62295501,10.9728,11.5824,11.24202614,0,1.433422311,6.482048336,No Damage,Cutler Wharf,3.480816,26.08,279.1450097,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,32.519184,33.40247186,34.519184,0
No Damage,178511,E,4,SH-0300,1642,Major Collector,Rural,1800,State hwy,3113266,Fed aid non-NHS,2,Y,1.5,0187X,1.732,ST RTE 187,4481,50,Posted,Rural,INDIAN RIVER RD,Addison,29010,Washington,29,Flexible,4,Eastern,160.2248083,-67.71178999,44.62619779,31.00000099,38.12990122,35.07640913,0,1.252908434,6.200047163,No Damage,Cutler Wharf,3.480816,26.08,305.1645193,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,27.519184,31.59559201,34.649084,0
No Damage,7814,A,4,SA-002,748,Major Collector,Rural,1800,State aid,3113015,Fed aid non-NHS,2,Y,0,2900969,0.25,RD INV 29 00969,21966,0,Unposted,Rural,WESCOGUS RD,Addison,29010,Washington,29,Flexible,4,Eastern,171.9183236,-67.7324377,44.61365972,3.3528,4.572,4.32024951,0,0.994677685,6.215192778,No Damage,Cutler Wharf,3.480816,26.08,161.6367938,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,7.519184,10.69323095,11.519184,48
No Damage,8540,A,4,SA-002,748,Major Collector,Rural,1800,State aid,3113015,Fed aid non-NHS,2,Y,0.75,2900969,1.25,RD INV 29 00969,10510,0,Unposted,Rural,WESCOGUS RD,Addison,29010,Washington,29,Flexible,4,Eastern,344.0061286,-67.71608103,44.61745366,15.00000048,21.00000067,16.86716998,0,1.127399951,6.230536733,No Damage,Cutler Wharf,3.480816,26.08,304.1145478,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,11.519184,13.38635344,17.519184,0
Damage,127492,A,5,IR-2900636,560,Local,Rural,1000,Townway,5094809,Non-fed aid non-NHS,2,Y,0,2900636,0.47,RD INV 29 00636,99256,25,Posted,Rural,BAYVIEW ST,Milbridge,29310,Washington,29,Flexible,4,Eastern,326.2584281,-67.87802612,44.54504435,3.000000096,14.00000045,7.226941278,0,1.091784802,6.462409887,Damage,Bar Harbor,3.096768,257.9,23.8230891,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,-0.096768,4.130173048,10.903232,36
No Damage,127490,E,5,IR-2900633,182,Local,Rural,1000,Townway,5094806,Non-fed aid non-NHS,2,Y,1.65,2900633,2.04,RD INV 29 00633,97610,25,Posted,Rural,RIM RD,Milbridge,29310,Washington,29,Flexible,4,Eastern,267.9456865,-67.87708379,44.54726624,13.00000042,16.00000051,14.13651368,0,1.141243042,6.528444123,No Damage,Bar Harbor,3.096768,257.9,263.7513505,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,9.903232,11.03974523,12.903232,0
No Damage,20814,A,2,SH-0044,3421,Minor Arterial,Rural,2400,State hwy,3124358,Fed aid non-NHS,2,Y,65.41,0001A,65.79,US 1A,98955,45,Posted,Rural,KENNEDY HWY,Milbridge,29310,Washington,29,Flexible,4,Eastern,262.8714433,-67.885448,44.54778957,1.524,2.1336,1.78306171,0,1.066276939,6.524118445,No Damage,Bar Harbor,3.096768,257.9,104.9526356,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,1.903232,2.753171993,3.903232,480
No Damage,127494,A,5,IR-2900631,560,Local,Rural,1000,Townway,5094811,Non-fed aid non-NHS,2,Y,0,2900631,0.25,RD INV 29 00631,64235,35,Posted,Rural,BACK BAY RD,Milbridge,29310,Washington,29,Flexible,4,Eastern,170.5059942,-67.88207311,44.54651375,5.00000016,16.00000051,11.83263422,0,1.410457466,6.366949187,No Damage,Bar Harbor,3.096768,257.9,250.3091312,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,1.903232,8.73586584,12.903232,0
No Damage,11034,E,2,SH-0044,4500,Minor Arterial,Rural,2400,State hwy,2667133,Fed aid non-NHS,2,Y,65.11,0001A,65.28,US 1A,89005,35,Posted,Rural,BRIDGE ST,Milbridge,29310,Washington,29,Flexible,4,Eastern,117.2164337,-67.8818194,44.54244629,0,5.00000016,2.829151708,0,1.642479906,6.516534544,No Damage,Bar Harbor,3.096768,257.9,4.222559659,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,-3.096768,-0.267616382,1.903232,846
No Damage,179287,A,2,SH-0044,3752,Minor Arterial,Rural,2400,State hwy,3113515,Fed aid non-NHS,2,Y,65.28,0001A,65.41,US 1A,74450,45,Posted,Rural,KENNEDY HWY,Milbridge,29310,Washington,29,Flexible,4,Eastern,92.59249044,-67.88321553,44.54437117,4.000000128,5.910200189,4.324163468,0,0.928665104,6.481355561,No Damage,Bar Harbor,3.096768,257.9,46.13444928,Eastern Shelf,7.45,135.41,4.26,140.36,Eastern Shelf,20.07,116.2,13.47,142.3,Mount Desert,4.4196,0.903232,1.227395329,2.813432,0
Damage,150872,E,5,IR-2900601,79,Local,Rural,1000,Townway,233454,Non-fed aid non-NHS,2,Y,8.8,2900601,9.09,RD INV 29 00601,9743,0,Unposted,Rural,NARROWS RD,Addison,29010,Washington,29,Gravel,4,Eastern,201.2515723,-67.71255652,44.49967828,4.000000128,28.0000009,18.05294267,0,1.690766697,6.577660421,Damage,Bar Harbor,3.096768,257.9,218.4196997,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,0.903232,14.95617409,24.903232,0
No Damage,150549,E,5,IR-2900601,248,Local,Rural,1000,Townway,232138,Non-fed aid non-NHS,2,Y,8.16,2900601,8.37,RD INV 29 00601,64079,0,Unposted,Rural,NARROWS RD,Addison,29010,Washington,29,Flexible,4,Eastern,145.7063333,-67.71415999,44.50901412,10.00000032,23.00000074,15.78975829,0,1.667292769,6.685068766,No Damage,Bar Harbor,3.096768,257.9,332.3028339,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,6.903232,12.69298979,19.903232,0
No Damage,149056,E,5,IR-2900601,338,Local,Rural,1000,Townway,230957,Non-fed aid non-NHS,2,Y,8.06,2900601,8.16,RD INV 29 00601,54551,0,Unposted,Rural,NARROWS RD,Addison,29010,Washington,29,Flexible,4,Eastern,66.69741219,-67.71513844,44.51109107,9.000000288,10.00000032,9.540278891,0,1.156237097,6.078158648,No Damage,Bar Harbor,3.096768,257.9,173.9000392,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,5.903232,6.443510585,6.903232,0
No Damage,149055,E,5,IR-2900603,102,Local,Rural,1000,Townway,230956,Non-fed aid non-NHS,2,Y,0.368,2900603,0.42,RD INV 29 00603,96323,0,Unposted,Rural,MOOSE NECK RD,Addison,29010,Washington,29,Unimproved,4,Eastern,36.20204128,-67.72120033,44.50766216,2.94918384,3.3528,3.251203369,0,1.299632729,4.622170984,No Damage,Bar Harbor,3.096768,257.9,79.03137911,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,6.579032,7.56990972,7.903232,60
No Damage,149054,E,5,IR-2900603,102,Local,Rural,1000,Townway,230956,Non-fed aid non-NHS,2,Y,0,2900603,0.368,RD INV 29 00603,31159,0,Unposted,Rural,MOOSE NECK RD,Addison,29010,Washington,29,Flexible,4,Eastern,255.3814449,-67.71813384,44.50976689,4.000000128,11.00000035,6.749237342,0,1.157080862,6.452123449,No Damage,Bar Harbor,3.096768,257.9,51.86313937,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,0.903232,3.652469126,7.903232,0
No Damage,127662,E,5,IR-2901654,113,Local,Rural,1000,Townway,5095496,Non-fed aid non-NHS,2,Y,0.375,2901654,0.69,RD INV 29 01654,29933,0,Unposted,Rural,MARSH ISLAND LN,Addison,29010,Washington,29,Flexible,4,Eastern,216.0857581,-67.72259722,44.50121504,5.00000016,29.00000093,13.46427575,0,1.589851175,6.658527703,No Damage,Bar Harbor,3.096768,257.9,161.8335003,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,1.903232,10.36750732,25.903232,0
