aadt_type,priority,fedfunccls,capacity,jurisdictn,num_lanes,st_urbrur,surfc_type,Shape_Leng,Z_Min,Z_Max,Z_Mean,Min_Slope,Max_Slope,Avg_Slope,Max_Height,Return_Period,Distance_to_Coast_m,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max
A,5,Local,1000,Townway,2,Rural,Flexible,1369.037651,3.0,6.684053314,1.711490705,0,44.67656871,1.67782846,11.42,26.08,41.50565173,5.97,144,3.39,144.49,22.3,135.0,13.93,143.06,0.57,-0.480816,12.519184,4.642177404
E,3,Major Collector,1400,State aid,2,Urban,Flexible,86.3136425,12.0,0.0,0.0,0,0.0,0.0,8.3,109.8,154.0698091,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,4.25,9.47016,9.47016,9.47016
E,4,Minor Collector,1600,State aid,2,Rural,Flexible,216.4699565,5.0,6.39022586,1.49505835,0,40.83498654,1.280461744,11.42,26.08,32.62540602,5.97,144,3.39,144.49,22.3,135.0,13.93,143.06,1.74,1.519184,3.519184,2.529327811
E,5,Local,1000,Townway,2,Urban,Flexible,129.1617628,9.0,0.0,0.0,0,0.0,0.0,9.3,280.71,166.2461687,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,2.87,6.16536,6.16536,6.16536
A,5,Local,1000,Townway,2,Rural,Flexible,2915.188977,3.0,6.614831274,1.586429338,0,43.75599278,1.4416918,10.16,5888.6,40.69357296,5.97,144,3.39,144.49,21.42,297.8,13.1,301.07,1.28,-0.096768,15.903232,3.977960603
E,5,Local,1000,Townway,2,Rural,Flexible,68.32478818,3.0,6.369075498,3.213676852,0,40.5651227,5.896442186,9.3,280.71,24.72683939,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,2.87,0.16536,6.16536,3.135293596
A,5,Local,1000,Townway,2,Rural,Flexible,698.4376343,7.0,5.679322354,1.127455114,0,32.2547024,0.728278962,10.16,5888.6,19.55647008,5.97,144,3.39,144.49,21.42,297.8,13.1,301.07,1.28,3.903232,5.903232,5.047738457
E,5,Local,1000,Townway,2,Rural,Unimproved,321.5608255,5.0,6.355951402,1.05824889,0,40.39811823,0.641623292,9.3,280.71,133.4200215,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,2.87,2.16536,4.16536,2.531490707
E,5,Local,1000,Townway,2,Urban,Flexible,167.7780316,8.0,6.61189545,2.548703409,0,43.71716144,3.716648485,9.3,280.71,131.8135889,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,2.87,5.16536,14.16536,9.4861893
E,5,Local,1000,Townway,2,Urban,Flexible,782.4609855,2.0,6.451257437,1.560808237,0,41.61872251,1.39551927,8.3,109.8,12.7069205,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,3.11,-0.52984,1.47016,-0.103862435
E,5,Local,1000,Townway,2,Rural,Flexible,1342.567918,3.0,6.61384128,1.854592911,0,43.74289647,1.969920276,10.16,5888.6,147.7543783,5.97,144,3.39,144.49,21.42,297.8,13.1,301.07,1.28,-0.096768,7.903232,3.241214065
E,5,Local,1000,Townway,2,Rural,Unimproved,613.7743671,4.0,6.478922077,1.468337069,0,41.97643128,1.23511353,9.3,280.71,46.92161793,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,1.81,1.16536,5.16536,3.280334902
A,4,Minor Collector,1600,State aid,2,Rural,Flexible,852.233332,15.3471,6.666979367,2.375578305,0,44.44861389,3.229988129,10.16,5888.6,373.150218,5.97,144,3.39,144.49,20.07,116.2,13.47,142.3,0.99,12.250332,32.903232,24.63054626
A,4,Minor Collector,1600,State aid,2,Rural,Flexible,89.33675339,3.4218,5.176810383,2.239050707,0,26.79936574,2.870033983,11.42,26.08,4.348672035,5.97,144,3.39,144.49,22.3,135.0,13.93,143.06,1.74,-0.059016,0.519184,0.468253006
E,5,Local,1000,Tnwy summer,2,Rural,Gravel,288.3013259,17.0,6.705607672,2.900492993,0,44.96517425,4.808889655,10.16,5888.6,136.0564146,5.97,144,3.39,144.49,21.42,297.8,13.1,301.07,0.98,13.903232,26.903232,23.26289713
E,5,Local,1000,Townway,2,Rural,Flexible,1136.961859,10.0,6.534185914,1.707920161,0,42.69558556,1.6708391,10.16,5888.6,136.1210191,5.97,144,3.39,144.49,20.07,116.2,13.47,142.3,0.99,6.903232,31.903232,23.40505447
E,5,Local,500,Townway,1,Urban,Flexible,293.9059119,3.0,6.348663194,1.811780576,0,40.30552435,1.880086877,9.3,280.71,121.0914376,6.98,156,4.43,222.44,20.1,127.0,12.63,182.9,2.51,0.16536,4.16536,2.094423589
E,5,Local,1000,Townway,2,Rural,Unimproved,666.4884145,2.0,6.489632767,1.133092776,0,42.11533345,0.735579661,10.16,5888.6,32.0151509,5.97,144,3.39,144.49,20.07,116.2,13.47,142.3,1.11,-1.096768,3.903232,0.635190843
